Hom NAND benchmark test: 100 iterations
This is the measurement time for Hom NAND calculation only.
startup: Tue Sep 28 02:53:08 2021
============================================================
iter_count	a|b|HOM_NAND(a,b)	elapsed[ms]
001	0|0|1	48549
002	0|0|1	48453
003	0|0|1	48610
004	0|0|1	48433
005	0|0|1	48491
006	0|0|1	48145
007	0|0|1	48748
008	0|0|1	48114
009	0|0|1	49312
010	0|0|1	48231
011	0|0|1	48226
012	0|0|1	48386
013	0|0|1	48402
014	0|0|1	48201
015	0|0|1	48239
016	0|0|1	48214
017	0|0|1	48099
018	0|0|1	48132
019	0|0|1	48286
020	0|0|1	48139
021	0|0|1	48219
022	0|0|1	48186
023	0|0|1	48307
024	0|0|1	48195
025	0|0|1	48065
026	0|1|1	48161
027	0|1|1	48273
028	0|1|1	47924
029	0|1|1	48230
030	0|1|1	48143
031	0|1|1	47929
032	0|1|1	47895
033	0|1|1	48111
034	0|1|1	48069
035	0|1|1	48111
036	0|1|1	48098
037	0|1|1	48152
038	0|1|1	48137
039	0|1|1	48142
040	0|1|1	48180
041	0|1|1	48102
042	0|1|1	48215
043	0|1|1	48032
044	0|1|1	47906
045	0|1|1	48114
046	0|1|1	48079
047	0|1|1	48199
048	0|1|1	48110
049	0|1|1	48151
050	0|1|1	48032
051	1|0|1	48007
052	1|0|1	48127
053	1|0|1	48149
054	1|0|1	48127
055	1|0|1	48068
056	1|0|1	48205
057	1|0|1	48007
058	1|0|1	47938
059	1|0|1	47997
060	1|0|1	48015
061	1|0|1	48027
062	1|0|1	47929
063	1|0|1	48212
064	1|0|1	47960
065	1|0|1	47904
066	1|0|1	48047
067	1|0|1	48066
068	1|0|1	47693
069	1|0|1	47893
070	1|0|1	48064
071	1|0|1	48050
072	1|0|1	48025
073	1|0|1	48136
074	1|0|1	47859
075	1|0|1	48010
076	1|1|0	48114
077	1|1|0	48072
078	1|1|0	47800
079	1|1|0	47984
080	1|1|0	47924
081	1|1|0	48036
082	1|1|0	47907
083	1|1|0	47973
084	1|1|0	47751
085	1|1|0	47993
086	1|1|0	47966
087	1|1|0	48171
088	1|1|0	48044
089	1|1|0	47929
090	1|1|0	48167
091	1|1|0	48240
092	1|1|0	47919
093	1|1|0	48018
094	1|1|0	48091
095	1|1|0	48004
096	1|1|0	47852
097	1|1|0	47820
098	1|1|0	48124
099	1|1|0	47889
100	1|1|0	48254
============================================================
mean: 48114.3[ms]
std: 211.12[ms]
finish: Tue Sep 28 05:49:06 2021
